CCStrip-at Ep-120C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,120000.0
T,Im,Q
47.4,0.405372,20.8706
47.45,0.405284,20.8909
47.5,0.405209,20.9111
47.55,0.405127,20.9314
47.6,0.404979,20.9516
47.65,0.40476,20.9719
47.7,0.404575,20.9921
47.75,0.404301,21.0123
47.8,0.404304,21.0325
47.85,0.404241,21.0527
47.9,0.404093,21.073
47.95,0.403988,21.0932
48.0,0.403781,21.1133
48.05,0.403556,21.1335
48.1,0.403368,21.1537
48.15,0.403153,21.1738
48.2,0.403057,21.194
48.25,0.402756,21.2141
48.3,0.402515,21.2343
48.35,0.402327,21.2544
48.4,0.402266,21.2745
48.45,0.402015,21.2946
48.5,0.401968,21.3147
48.55,0.40188,21.3348
48.6,0.4017,21.3549
48.65,0.401394,21.3749
48.7,0.401161,21.395
48.75,0.401074,21.4151
48.8,0.400961,21.4351
48.85,0.400791,21.4551
48.9,0.400785,21.4752
48.95,0.40064,21.4952
