CC-at Ep-120C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,120000.0
T,Im,Q
38.15,-0.010409,-0.4945
38.2,-0.0104131,-0.495021
38.25,-0.0104104,-0.495542
38.3,-0.0104136,-0.496062
38.35,-0.0104067,-0.496583
38.4,-0.0104103,-0.497103
38.45,-0.0104119,-0.497624
38.5,-0.0104157,-0.498145
38.55,-0.010418,-0.498665
38.6,-0.0104128,-0.499186
38.65,-0.0104147,-0.499707
38.7,-0.0104119,-0.500227
38.75,-0.0104126,-0.500748
38.8,-0.010412,-0.501269
38.85,-0.0104201,-0.50179
38.9,-0.0104208,-0.502311
38.95,-0.0104206,-0.502832
39.0,-0.0104175,-0.503353
39.05,-0.0104239,-0.503874
39.1,-0.0104271,-0.504395
39.15,-0.0104276,-0.504916
39.2,-0.0104132,-0.505437
39.25,-0.0104159,-0.505958
39.3,-0.0104262,-0.506479
39.35,-0.0104292,-0.507001
39.4,-0.0104167,-0.507522
39.45,-0.0104204,-0.508043
39.5,-0.0104337,-0.508564
39.55,-0.0104341,-0.509086
39.6,-0.0104317,-0.509608
39.65,-0.0104215,-0.510129
39.7,-0.0104285,-0.51065
39.75,-0.0104289,-0.511171
39.8,-0.0104426,-0.511694
